Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
30,Benign Mimicry,0.3,SGAN,99.38%,12759/12839,80,11.9906
30,Benign Mimicry,0.4,CNN,98.71%,12673/12839,166,9.5015
30,Benign Mimicry,0.4,DGCNN,96.40%,12377/12839,462,21.1901
30,Benign Mimicry,0.4,GAT,92.56%,11884/12839,955,40.0833
30,Benign Mimicry,0.4,HYBRID-DGCNN,94.13%,12085/12839,754,20.0735
30,Benign Mimicry,0.4,HYBRID-GAT,69.97%,8984/12839,3855,62.3375
30,Benign Mimicry,0.4,LSTM,94.39%,12119/12839,720,37.0406
30,Benign Mimicry,0.4,SGAN,98.96%,12705/12839,134,10.5001
30,Call Reordering,0.05,CNN,99.82%,12816/12839,23,9.8684
30,Call Reordering,0.05,DGCNN,99.84%,12818/12839,21,21.7339
30,Call Reordering,0.05,GAT,99.64%,12793/12839,46,40.7455
30,Call Reordering,0.05,HYBRID-DGCNN,99.81%,12815/12839,24,20.6498
30,Call Reordering,0.05,HYBRID-GAT,99.28%,12746/12839,93,63.9443
30,Call Reordering,0.05,LSTM,99.74%,12805/12839,34,38.5924
30,Call Reordering,0.05,SGAN,99.88%,12823/12839,16,10.8792
30,Call Reordering,0.1,CNN,99.82%,12816/12839,23,9.6595
30,Call Reordering,0.1,DGCNN,99.84%,12818/12839,21,21.5698
30,Call Reordering,0.1,GAT,99.58%,12785/12839,54,40.1733
30,Call Reordering,0.1,HYBRID-DGCNN,99.81%,12814/12839,25,20.4465
30,Call Reordering,0.1,HYBRID-GAT,99.29%,12748/12839,91,63.3769
30,Call Reordering,0.1,LSTM,99.73%,12804/12839,35,37.8944
30,Call Reordering,0.1,SGAN,99.85%,12820/12839,19,10.8237
30,Call Reordering,0.15,CNN,99.84%,12819/12839,20,10.8085
30,Call Reordering,0.15,DGCNN,99.82%,12816/12839,23,23.2058
30,Call Reordering,0.15,GAT,99.46%,12770/12839,69,44.5954
30,Call Reordering,0.15,HYBRID-DGCNN,99.82%,12816/12839,23,22.5653
30,Call Reordering,0.15,HYBRID-GAT,99.16%,12731/12839,108,70.0438
30,Call Reordering,0.15,LSTM,99.72%,12803/12839,36,44.0478
30,Call Reordering,0.15,SGAN,99.86%,12821/12839,18,11.8526
30,Call Reordering,0.2,CNN,99.86%,12821/12839,18,9.8001
30,Call Reordering,0.2,DGCNN,99.81%,12815/12839,24,22.6159
30,Call Reordering,0.2,GAT,99.48%,12772/12839,67,41.2672
30,Call Reordering,0.2,HYBRID-DGCNN,99.80%,12813/12839,26,21.5986
30,Call Reordering,0.2,HYBRID-GAT,99.10%,12723/12839,116,67.4845
30,Call Reordering,0.2,LSTM,99.74%,12806/12839,33,39.0173
30,Call Reordering,0.2,SGAN,99.76%,12808/12839,31,10.8237
30,Stalling Padding,0.3,CNN,100.00%,12839/12839,0,11.2434
30,Stalling Padding,0.3,DGCNN,100.00%,12839/12839,0,24.9824
30,Stalling Padding,0.3,GAT,99.56%,12783/12839,56,46.489
30,Stalling Padding,0.3,HYBRID-DGCNN,100.00%,12839/12839,0,24.0322
30,Stalling Padding,0.3,HYBRID-GAT,94.16%,12089/12839,750,73.6011
30,Stalling Padding,0.3,LSTM,92.53%,11880/12839,959,43.4426
30,Stalling Padding,0.3,SGAN,99.98%,12837/12839,2,12.5895
30,Stalling Padding,0.5,CNN,100.00%,12839/12839,0,12.2859
30,Stalling Padding,0.5,DGCNN,100.00%,12839/12839,0,26.5056
30,Stalling Padding,0.5,GAT,100.00%,12839/12839,0,50.3672
30,Stalling Padding,0.5,HYBRID-DGCNN,100.00%,12839/12839,0,25.8004
30,Stalling Padding,0.5,HYBRID-GAT,99.95%,12832/12839,7,78.5338
30,Stalling Padding,0.5,LSTM,93.58%,12015/12839,824,47.2625
30,Stalling Padding,0.5,SGAN,99.98%,12837/12839,2,13.7952
30,Stalling Padding,0.7,CNN,100.00%,12839/12839,0,12.2833
30,Stalling Padding,0.7,DGCNN,100.00%,12839/12839,0,27.3312
30,Stalling Padding,0.7,GAT,100.00%,12839/12839,0,50.5451
30,Stalling Padding,0.7,HYBRID-DGCNN,100.00%,12839/12839,0,26.8492
30,Stalling Padding,0.7,HYBRID-GAT,100.00%,12839/12839,0,83.9667
30,Stalling Padding,0.7,LSTM,99.98%,12837/12839,2,49.4279
30,Stalling Padding,0.7,SGAN,99.98%,12836/12839,3,13.7382
30,Stalling Padding,0.9,CNN,100.00%,12839/12839,0,13.5661
30,Stalling Padding,0.9,DGCNN,100.00%,12839/12839,0,30.453
30,Stalling Padding,0.9,GAT,100.00%,12839/12839,0,56.9054
30,Stalling Padding,0.9,HYBRID-DGCNN,100.00%,12839/12839,0,29.9593
30,Stalling Padding,0.9,HYBRID-GAT,100.00%,12839/12839,0,95.4293
30,Stalling Padding,0.9,LSTM,100.00%,12839/12839,0,57.7412
30,Stalling Padding,0.9,SGAN,99.98%,12836/12839,3,14.2488
40,Benign Mimicry,0.1,CNN,99.83%,12817/12839,22,11.2468
40,Benign Mimicry,0.1,DGCNN,97.81%,12558/12839,281,24.5817
40,Benign Mimicry,0.1,GAT,96.83%,12432/12839,407,45.7773
40,Benign Mimicry,0.1,HYBRID-DGCNN,97.02%,12457/12839,382,24.3178
40,Benign Mimicry,0.1,HYBRID-GAT,97.58%,12528/12839,311,75.1292
40,Benign Mimicry,0.1,LSTM,98.32%,12623/12839,216,43.5955
40,Benign Mimicry,0.1,SGAN,99.84%,12819/12839,20,11.9626
40,Benign Mimicry,0.2,CNN,99.48%,12772/12839,67,12.0197
40,Benign Mimicry,0.2,DGCNN,96.76%,12423/12839,416,25.4672
40,Benign Mimicry,0.2,GAT,93.21%,11967/12839,872,48.216
40,Benign Mimicry,0.2,HYBRID-DGCNN,95.17%,12219/12839,620,25.2998
40,Benign Mimicry,0.2,HYBRID-GAT,93.48%,12002/12839,837,76.3238
40,Benign Mimicry,0.2,LSTM,95.46%,12256/12839,583,46.7694
40,Benign Mimicry,0.2,SGAN,99.33%,12753/12839,86,13.1761
40,Benign Mimicry,0.3,CNN,99.45%,12768/12839,71,14.493
40,Benign Mimicry,0.3,DGCNN,96.12%,12341/12839,498,28.5895
